 Date        time  sm   APmag  S-brt   Illu%            delta      deldot
 2014-Dec-02 09:00  m  -11.42   4.50  80.494 0.00248799894512   0.2971419
 2014-Dec-02 09:15  m  -11.43   4.50  80.575 0.00248980767219   0.3039127
 2014-Dec-02 09:30  m  -11.43   4.50  80.658 0.00249165368784   0.3095335
 2014-Dec-02 09:45  m  -11.43   4.49  80.743 0.00249353001165   0.3139847
 2014-Dec-02 10:00  m  -11.43   4.49  80.828 0.00249542955867   0.3172512
 2014-Dec-02 10:15  m  -11.43   4.49  80.916 0.00249734516858   0.3193230
 2014-Dec-02 10:30  m  -11.44   4.49  81.004 0.00249926963488   0.3201948
 2014-Dec-02 10:45  m  -11.44   4.48  81.095 0.00250119573415   0.3198663
 2014-Dec-02 11:00  m  -11.44   4.48  81.186 0.00250311625495   0.3183417
 2014-Dec-02 11:15  s  -11.44   4.48  81.280 0.00250502402650   0.3156302
 2014-Dec-02 11:30     -11.44   4.48  81.374 0.00250691194698   0.3117457
 2014-Dec-02 11:45     -11.45   4.47  81.470 0.00250877301122   0.3067064
 2014-Dec-02 12:00     -11.45   4.47  81.568 0.00251060033792   0.3005351
 2014-Dec-02 12:15     -11.45   4.47  81.666 0.00251238719589   0.2932590
 2014-Dec-02 12:30     -11.45   4.46  81.766 0.00251412702987   0.2849094
 2014-Dec-02 12:45     -11.46   4.46  81.867 0.00251581348512   0.2755215
 2014-Dec-02 13:00     -11.46   4.46  81.970 0.00251744043122   0.2651347
 2014-Dec-02 13:15     -11.46   4.46  82.073 0.00251900198493   0.2537917
 2014-Dec-02 13:30     -11.47   4.45  82.178 0.00252049253170   0.2415391
 2014-Dec-02 13:45     -11.47   4.45  82.283 0.00252190674635   0.2284265
 2014-Dec-02 14:00 A   -11.47   4.45  82.389 0.00252323961227   0.2145068
 2014-Dec-02 14:15 A   -11.48   4.44  82.496 0.00252448643957   0.1998357
 2014-Dec-02 14:30 N   -11.48   4.44  82.604 0.00252564288185   0.1844715
 2014-Dec-02 14:45 N   -11.48   4.44  82.713 0.00252670495166   0.1684753
 2014-Dec-02 15:00 N   -11.49   4.43  82.822 0.00252766903459   0.1519101
 2014-Dec-02 15:15 C   -11.49   4.43  82.931 0.00252853190199   0.1348409
 2014-Dec-02 15:30 C   -11.50   4.43  83.041 0.00252929072224   0.1173346
 2014-Dec-02 15:45 *   -11.50   4.42  83.151 0.00252994307061   0.0994597
 2014-Dec-02 16:00 *   -11.50   4.42  83.261 0.00253048693766   0.0812856
 2014-Dec-02 16:15 *   -11.51   4.42  83.372 0.00253092073611   0.0628832
 2014-Dec-02 16:30 *   -11.51   4.41  83.482 0.00253124330633   0.0443237
 2014-Dec-02 16:45 *   -11.52   4.41  83.593 0.00253145392020   0.0256793
 2014-Dec-02 17:00 *   -11.52   4.41  83.703 0.00253155228360   0.0070221
 2014-Dec-02 17:15 *   -11.53   4.40  83.812 0.00253153853726  -0.0115756
 2014-Dec-02 17:30 *   -11.53   4.40  83.922 0.00253141325625  -0.0300417
 2014-Dec-02 17:45 *   -11.54   4.40  84.031 0.00253117744779  -0.0483047
